,location,bhk,total_sqft,bath,price,encoded_loc
5413,Harlur,2,1331.0,2.0,88.0,94
5414,Margondanahalli,2,1200.0,2.0,69.0,166
5415,others,3,1280.0,2.0,49.0,240
5416,Balagere,2,1007.0,2.0,62.0,28
5417,Thanisandra,3,1370.0,2.0,61.0,218
5418,others,2,925.0,2.0,35.0,240
5419,TC Palaya,2,1500.0,2.0,75.0,216
5420,Hennur Road,2,1341.0,2.0,95.0,99
5421,2nd Phase Judicial Layout,3,1350.0,2.0,47.25,2
5422,Tumkur Road,2,992.0,2.0,60.0,223
5423,Uttarahalli,2,1163.0,2.0,68.0,225
5424,Sarjapur  Road,2,1229.0,2.0,70.0,203
5425,others,2,600.0,2.0,39.0,240
5426,Electronic City Phase II,2,1219.0,2.0,61.26,78
5427,Raja Rajeshwari Nagar,3,1525.0,2.0,99.13,193
5428,Kasavanhalli,2,1147.0,2.0,60.0,134
5429,Akshaya Nagar,3,1412.0,2.0,88.0,12
5430,Sarjapur  Road,2,1044.0,2.0,34.77,203
5431,Nagarbhavi,2,1190.0,2.0,63.0,174
5432,others,3,1240.0,2.0,65.0,240
5433,Jigani,3,1352.0,3.0,65.0,117
5434,others,2,1100.0,2.0,55.0,240
5435,Uttarahalli,3,1330.0,2.0,39.9,225
5436,others,3,1700.0,3.0,111.0,240
5437,Electronic City,2,1355.0,2.0,67.0,77
5438,Ramamurthy Nagar,2,1200.0,2.0,46.0,197
5439,Kengeri,1,400.0,2.0,25.0,139
5440,Sarjapur  Road,2,1342.0,2.0,70.0,203
5441,Begur Road,3,1615.0,3.0,50.87,42
5442,others,2,1340.0,2.0,65.0,240
5443,others,2,1200.0,2.0,54.0,240
5444,Devanahalli,2,1080.0,2.0,52.0,68
5445,Hennur Road,3,2700.0,3.0,150.0,99
5446,others,3,1780.0,3.0,110.0,240
5447,Amruthahalli,3,1605.0,3.0,65.0,15
5448,Kammanahalli,2,1200.0,2.0,80.0,128
5449,Margondanahalli,2,900.0,2.0,49.0,166
5450,Sarjapur,3,1830.0,3.0,88.0,202
5451,others,5,1800.0,4.0,68.0,240
5452,Uttarahalli,2,1065.0,2.0,42.59,225
5453,others,3,900.0,2.0,65.0,240
5454,others,2,946.0,2.0,45.0,240
5455,Laggere,1,1500.0,1.0,60.0,156
5456,Sarjapur  Road,3,1711.0,3.0,110.0,203
5457,Kudlu Gate,3,1656.0,3.0,80.0,152
5458,Uttarahalli,2,1075.0,2.0,46.76,225
5459,Harlur,3,1752.12,3.0,133.0,94
5460,others,3,1540.0,3.0,85.0,240
5461,LB Shastri Nagar,1,665.0,1.0,32.0,155
5462,Sector 2 HSR Layout,3,1665.0,3.0,110.0,205
5463,Electronics City Phase 1,2,1145.0,2.0,54.0,79
5464,Whitefield,2,1185.0,2.0,41.0,234
5465,Marathahalli,3,1693.0,3.0,125.0,165
5466,Uttarahalli,2,1155.0,2.0,40.6,225
5467,others,3,1610.0,2.0,64.4,240
5468,Whitefield,3,1200.0,3.0,56.58,234
5469,EPIP Zone,3,1709.0,3.0,80.0,76
5470,Gottigere,3,1400.0,2.0,50.0,85
5471,KR Puram,2,1200.0,2.0,42.0,119
5472,others,3,1439.0,3.0,57.23,240
5473,Kasavanhalli,2,1375.0,2.0,72.0,134
5474,Vijayanagar,3,1200.0,2.0,75.0,230
5475,Yelahanka,2,1315.0,2.0,75.0,236
5476,Yelahanka,6,3600.0,6.0,200.0,236
5477,Vijayanagar,2,1178.0,2.0,82.0,230
5478,Bannerghatta Road,3,1430.0,3.0,59.0,37
5479,Mahadevpura,3,1400.0,2.0,65.8,160
5480,Thanisandra,2,1093.0,2.0,72.0,218
5481,Horamavu Banaswadi,2,1200.0,2.0,45.0,102
5482,Magadi Road,5,5000.0,6.0,360.0,159
5483,Whitefield,3,2210.0,3.0,156.0,234
5484,Uttarahalli,2,1150.0,2.0,70.0,225
5485,others,3,1435.0,2.0,60.0,240
5486,Whitefield,2,1173.0,2.0,78.2,234
5487,Thanisandra,2,1140.0,2.0,39.0,218
5488,others,3,1717.0,3.0,120.0,240
5489,Mallasandra,2,1325.0,2.0,65.0,162
5490,Hoodi,3,1370.0,3.0,67.0,100
5491,others,3,1409.0,2.0,62.0,240
5492,Bellandur,2,1200.0,2.0,52.0,43
5493,Thanisandra,2,1200.0,2.0,53.5,218
5494,Whitefield,3,1740.0,4.0,130.0,234
5495,Hennur Road,2,1232.0,2.0,88.0,99
5496,Chandapura,2,1200.0,2.0,36.0,58
5497,others,2,1250.0,2.0,50.0,240
5498,Bommanahalli,4,2100.0,4.0,85.0,50
5499,5th Phase JP Nagar,1,552.0,1.0,23.5,5
5500,Uttarahalli,3,1065.0,2.0,42.59,225
5501,others,2,1225.0,2.0,65.0,240
5502,Padmanabhanagar,2,1067.0,2.0,52.0,184
5503,Sarjapur,3,1364.0,2.0,56.0,202
5504,others,3,1750.0,3.0,75.0,240
5505,Bannerghatta Road,2,1240.0,2.0,71.0,37
5506,Hulimavu,2,1200.0,2.0,75.0,108
5507,Kaggadasapura,3,1540.0,3.0,75.0,122
5508,others,3,1504.0,2.0,102.0,240
5509,others,2,1116.0,2.0,49.8,240
5510,Hennur Road,3,2365.0,4.0,175.0,99
5511,Vijayanagar,2,864.0,2.0,45.0,230
5512,Hoskote,3,1069.0,2.0,38.0,106
5513,Hebbal,2,1333.0,2.0,100.0,95
5514,others,4,1800.0,4.0,145.0,240
5515,Thanisandra,3,1698.0,3.0,107.0,218
5516,JP Nagar,3,1275.0,2.0,43.6,113
5517,Raja Rajeshwari Nagar,2,1060.0,2.0,48.0,193
5518,Hennur,2,1160.0,2.0,49.0,98
5519,Sarjapur  Road,3,1484.0,2.0,65.0,203
5520,Hennur Road,2,1310.0,2.0,66.0,99
5521,others,4,3000.0,4.0,240.0,240
5522,Varthur,3,2145.0,3.0,165.0,226
5523,Marathahalli,3,1693.0,3.0,125.0,165
5524,Jigani,3,1230.0,3.0,60.0,117
5525,Bommasandra Industrial Area,3,1310.0,2.0,37.83,52
5526,others,2,1150.0,2.0,60.0,240
5527,Munnekollal,3,1385.0,2.0,66.5,169
5528,Tumkur Road,2,1066.0,2.0,52.5,223
5529,Thanisandra,3,2293.0,3.0,80.26,218
5530,others,3,1625.0,3.0,92.0,240
5531,Vittasandra,2,1246.0,2.0,67.4,233
5532,Raja Rajeshwari Nagar,6,3900.0,6.0,195.0,193
5533,7th Phase JP Nagar,2,1000.0,2.0,70.65,7
5534,Nagavarapalya,2,907.0,2.0,38.0,177
5535,Ulsoor,4,3500.0,4.0,138.0,224
5536,Varthur,3,1395.0,2.0,79.0,226
5537,others,2,1180.0,2.0,50.0,240
5538,Banaswadi,5,1903.0,6.0,140.0,34
5539,Electronic City,2,1175.0,2.0,47.0,77
5540,others,2,1272.0,2.0,51.5,240
5541,others,3,1490.0,2.0,92.0,240
5542,Yeshwanthpur,2,1144.0,2.0,67.0,239
5543,others,4,2400.0,5.0,140.0,240
5544,Hormavu,2,1143.0,2.0,53.0,103
5545,Karuna Nagar,3,2500.0,3.0,190.0,133
5546,Whitefield,2,1216.0,2.0,75.0,234
5547,others,2,1044.0,2.0,60.0,240
5548,Prithvi Layout,2,1352.0,3.0,93.0,190
5549,Hennur Road,3,1552.0,3.0,75.0,99
5550,Bellandur,3,1785.0,3.0,120.0,43
5551,Pai Layout,2,810.0,2.0,34.5,185
5552,Banashankari Stage V,3,1650.0,3.0,51.98,32
5553,others,3,1595.0,3.0,70.39,240
5554,Whitefield,2,1060.0,2.0,35.0,234
5555,Babusapalaya,3,1410.0,2.0,65.0,26
5556,Nagarbhavi,3,1523.0,2.0,56.0,174
5557,Kanakpura Road,3,1591.0,3.0,122.0,131
5558,others,3,1640.0,3.0,84.0,240
5559,Yelahanka New Town,1,450.0,1.0,16.0,237
5560,Bannerghatta Road,3,1305.0,2.0,60.0,37
5561,Yelahanka,3,1590.0,3.0,54.0,236
5562,Kaggadasapura,2,1240.0,2.0,45.0,122
5563,others,2,1200.0,2.0,54.0,240
5564,Dodda Nekkundi,2,1100.0,2.0,41.16,70
5565,Sarjapur  Road,2,1115.0,2.0,50.0,203
5566,Bisuvanahalli,2,845.0,2.0,33.0,49
5567,Channasandra,3,1310.0,2.0,45.0,59
5568,others,2,959.0,2.0,42.5,240
5569,Kambipura,2,883.0,2.0,37.0,127
5570,Rachenahalli,2,1050.0,2.0,55.5,192
5571,Yelahanka,2,1390.0,2.0,70.21,236
5572,Hulimavu,2,1560.0,2.0,46.0,108
5573,Kenchenahalli,3,1280.0,2.0,69.0,138
5574,Yelahanka,3,1614.0,3.0,95.0,236
5575,Kasturi Nagar,2,1000.0,2.0,58.0,135
5576,Marathahalli,2,1196.0,2.0,57.9,165
5577,Sarjapur  Road,3,1220.0,3.0,57.0,203
5578,Ambalipura,2,950.0,2.0,31.95,13
5579,others,2,1141.0,2.0,55.0,240
5580,5th Phase JP Nagar,2,1200.0,2.0,51.0,5
5581,Kasavanhalli,3,1380.0,2.0,55.0,134
5582,Doddathoguru,2,855.0,2.0,32.0,73
5583,Chandapura,2,922.0,2.0,36.0,58
5584,others,2,1200.0,2.0,43.2,240
5585,others,3,1240.0,2.0,65.0,240
5586,7th Phase JP Nagar,2,1070.0,2.0,42.0,7
5587,others,2,1293.0,2.0,75.0,240
5588,R.T. Nagar,3,1380.0,2.0,50.0,191
5589,Yelahanka New Town,3,1599.0,3.0,80.0,237
5590,Nehru Nagar,2,967.0,2.0,41.1,180
5591,others,3,1885.0,3.0,90.0,240
5592,others,2,860.0,2.0,65.5,240
5593,Sarjapur  Road,2,1050.0,2.0,63.5,203
5594,Marathahalli,3,1595.0,3.0,88.0,165
5595,Sarjapur  Road,2,1350.0,2.0,102.0,203
5596,Hebbal,2,1204.0,2.0,45.0,95
5597,Sarjapur  Road,4,2990.0,4.0,240.0,203
5598,Sarjapur  Road,2,1035.0,2.0,49.0,203
5599,ITPL,2,1000.0,2.0,29.95,110
5600,Sarjapur  Road,3,1457.0,3.0,85.0,203
5601,Haralur Road,2,1194.0,2.0,47.0,93
5602,Bannerghatta,2,1100.0,2.0,66.0,36
5603,Whitefield,3,1655.0,3.0,120.0,234
5604,Kanakpura Road,3,1691.2,3.0,115.0,131
5605,Ramagondanahalli,2,1215.0,2.0,46.1,196
5606,Kanakpura Road,2,1155.0,2.0,50.125,131
5607,Hoodi,3,1639.0,3.0,129.0,100
5608,Sarjapur  Road,3,1685.0,3.0,135.0,203
5609,Hormavu,2,1100.0,2.0,38.0,103
5610,Marathahalli,3,2122.0,3.0,125.0,165
5611,Vasanthapura,2,1050.0,2.0,47.0,228
5612,Kengeri,2,1230.0,2.0,45.0,139
5613,5th Phase JP Nagar,3,1240.0,3.0,60.0,5
5614,Electronic City Phase II,3,1252.0,2.0,65.0,78
5615,others,3,1374.0,2.0,88.0,240
5616,8th Phase JP Nagar,1,500.0,1.0,30.0,8
5617,Hebbal,3,1355.0,3.0,83.87,95
5618,Banashankari,2,1040.0,2.0,45.0,29
5619,Sarjapur  Road,2,1350.0,2.0,68.0,203
5620,Hennur,3,2400.0,3.0,135.0,98
5621,Haralur Road,3,1560.0,3.0,90.0,93
5622,Anandapura,2,1151.0,2.0,43.16,16
5623,Uttarahalli,3,1360.0,2.0,47.59,225
5624,others,2,1250.0,2.0,60.0,240
5625,Hennur Road,2,1015.0,2.0,50.0,99
5626,Kadugodi,3,1351.0,2.0,78.0,121
5627,Yelahanka New Town,2,960.0,2.0,50.0,237
5628,others,2,1110.0,2.0,52.0,240
5629,R.T. Nagar,3,1680.0,3.0,72.0,191
5630,Arekere,3,2400.0,3.0,180.0,21
5631,others,3,1350.0,3.0,48.6,240
5632,Horamavu Banaswadi,2,1254.0,2.0,47.0,102
5633,CV Raman Nagar,2,1051.0,2.0,61.0,56
5634,Uttarahalli,2,1099.0,2.0,65.0,225
5635,Hebbal,3,2650.0,4.0,199.0,95
5636,others,4,2000.0,2.0,160.0,240
5637,Sarjapur  Road,3,1200.0,3.0,70.0,203
5638,Whitefield,2,1125.0,2.0,45.0,234
5639,Vittasandra,3,1650.0,3.0,85.0,233
5640,others,1,834.0,1.0,62.0,240
5641,Gollarapalya Hosahalli,3,1320.0,3.0,60.0,84
5642,Mysore Road,3,1500.0,3.0,74.0,171
5643,Kanakpura Road,1,1560.0,1.0,125.0,131
5644,Whitefield,2,1180.0,2.0,70.0,234
5645,Kadugodi,2,1010.0,2.0,50.0,121
5646,Channasandra,2,1070.0,2.0,38.0,59
5647,Choodasandra,3,1580.0,3.0,105.0,63
5648,Iblur Village,3,1920.0,3.0,130.0,111
5649,Sanjay nagar,3,1200.0,2.0,76.0,200
5650,Kalena Agrahara,2,1040.0,2.0,45.0,125
5651,Hulimavu,3,1430.0,2.0,90.0,108
5652,Uttarahalli,3,1215.0,2.0,52.85,225
5653,Thanisandra,3,1564.0,3.0,105.0,218
5654,Hormavu,2,750.0,2.0,58.0,103
5655,Kasavanhalli,2,1200.0,2.0,60.0,134
5656,Raja Rajeshwari Nagar,2,1128.0,2.0,48.79,193
5657,Begur Road,2,1200.0,2.0,44.4,42
5658,others,4,2000.0,4.0,135.0,240
5659,Yelahanka,3,1650.0,3.0,105.0,236
5660,Yelahanka,2,1200.0,2.0,55.0,236
5661,Kengeri Satellite Town,2,985.0,2.0,42.0,140
5662,Ramagondanahalli,3,1475.0,2.0,63.0,196
5663,Sarjapur  Road,3,1157.0,2.0,53.99,203
5664,others,2,900.0,2.0,35.0,240
5665,Gottigere,4,2500.0,3.0,120.0,85
5666,GM Palaya,2,1030.0,2.0,60.0,81
5667,others,2,1000.0,2.0,46.0,240
5668,Kasavanhalli,4,4260.0,4.0,333.0,134
5669,Kudlu,3,1570.0,2.0,65.94,151
5670,Kanakapura,2,1283.0,2.0,68.0,130
5671,others,2,1200.0,2.0,52.0,240
5672,Konanakunte,3,2400.0,2.0,180.0,147
5673,Kathriguppe,3,1250.0,2.0,68.75,136
5674,Yelahanka,2,990.0,2.0,37.62,236
5675,Panathur,2,1199.0,2.0,85.0,186
5676,others,2,1280.0,2.0,90.0,240
5677,others,2,1190.0,2.0,55.0,240
5678,Yelachenahalli,2,1100.0,2.0,60.0,235
5679,Harlur,2,1133.0,2.0,55.0,94
5680,Somasundara Palya,4,2400.0,3.0,140.0,211
5681,Whitefield,2,1280.0,2.0,69.0,234
5682,Horamavu Agara,3,1250.0,3.0,65.0,101
5683,Begur Road,3,1565.0,2.0,49.3,42
5684,others,3,1900.0,3.0,65.0,240
5685,Munnekollal,2,1080.0,2.0,45.0,169
5686,Battarahalli,1,600.0,1.0,47.0,40
5687,HRBR Layout,3,1335.0,2.0,87.0,91
5688,Vittasandra,2,1246.0,2.0,67.3,233
5689,JP Nagar,3,3496.5,2.0,237.5,113
5690,Sarjapur  Road,3,1385.0,3.0,55.0,203
5691,others,3,1578.0,3.0,73.9,240
5692,HSR Layout,2,1140.0,2.0,46.0,92
5693,Sarjapur  Road,3,1700.0,3.0,79.9,203
5694,Vidyaranyapura,2,1120.0,2.0,70.0,229
5695,Electronic City,1,435.0,1.0,22.0,77
5696,Magadi Road,2,1116.0,2.0,51.89,159
5697,Old Madras Road,3,1480.0,3.0,95.0,183
5698,Hormavu,2,1000.0,2.0,50.0,103
5699,HSR Layout,2,1145.0,2.0,46.0,92
5700,Bommasandra,2,800.0,1.0,32.0,51
5701,Thanisandra,2,1265.0,2.0,83.0,218
5702,Devanahalli,3,1700.0,3.0,88.2,68
5703,others,2,1475.0,2.0,70.0,240
5704,BTM 2nd Stage,2,1265.0,2.0,55.0,24
5705,Anandapura,2,1200.0,2.0,58.0,16
5706,Brookefield,2,1080.0,2.0,50.0,54
5707,Whitefield,3,2023.0,4.0,130.0,234
5708,others,2,2400.0,2.0,125.0,240
5709,Kadubeesanahalli,3,1545.0,2.0,66.0,120
5710,6th Phase JP Nagar,3,1350.0,2.0,58.0,6
5711,Hoodi,2,1108.0,2.0,74.23,100
5712,Marathahalli,3,1730.0,3.0,115.0,165
5713,others,3,1427.0,2.0,70.0,240
5714,Yelahanka,2,935.0,2.0,35.53,236
5715,Sarjapura - Attibele Road,2,1073.0,2.0,31.77,204
5716,Ananth Nagar,2,960.0,2.0,37.0,17
5717,Thigalarapalya,3,2215.0,4.0,150.0,219
5718,Electronic City Phase II,2,1125.0,2.0,32.49,78
5719,Brookefield,2,1230.0,2.0,55.0,54
5720,Mahadevpura,2,1438.0,2.0,89.0,160
5721,7th Phase JP Nagar,2,1080.0,2.0,75.0,7
5722,Uttarahalli,3,1590.0,3.0,58.0,225
5723,others,3,1350.0,3.0,68.0,240
5724,Raja Rajeshwari Nagar,3,1400.0,2.0,48.0,193
5725,Kaggadasapura,3,1560.0,2.0,72.0,122
5726,Mallasandra,4,1810.0,3.0,57.0,162
5727,others,3,2274.24,4.0,160.0,240
5728,Sonnenahalli,3,1484.0,3.0,74.18,213
5729,others,3,1455.0,2.0,55.0,240
5730,Thanisandra,3,2280.0,4.0,184.0,218
5731,Bharathi Nagar,2,1351.0,2.0,74.0,45
5732,Kanakpura Road,3,1223.0,2.0,42.81,131
5733,KR Puram,3,1430.0,2.0,61.0,119
5734,Electronic City Phase II,3,1310.0,2.0,37.83,78
5735,Sarjapur  Road,2,984.0,2.0,55.0,203
5736,Jalahalli,3,1770.0,3.0,100.0,115
5737,Bhoganhalli,2,1447.0,2.0,75.97,46
5738,Margondanahalli,2,1140.0,2.0,60.0,166
5739,Bommanahalli,2,1170.0,2.0,34.0,50
5740,Poorna Pragna Layout,2,1160.0,2.0,46.39,189
5741,Kanakpura Road,2,1296.0,2.0,89.0,131
5742,others,3,1570.0,3.0,80.0,240
5743,others,3,1495.0,2.0,65.0,240
5744,Hoodi,3,1530.0,2.0,67.0,100
5745,Gunjur,3,1800.0,3.0,70.0,88
5746,Bellandur,2,1088.0,2.0,48.0,43
5747,Hosa Road,3,1533.0,3.0,98.18,104
5748,Rachenahalli,2,1100.0,2.0,68.0,192
5749,Thubarahalli,3,1540.0,3.0,90.0,220
5750,Hebbal,2,1244.0,3.0,48.0,95
5751,Hosa Road,2,1040.0,2.0,68.59,104
5752,Begur Road,2,1260.0,2.0,39.69,42
5753,Uttarahalli,2,1180.0,2.0,41.3,225
5754,Thigalarapalya,2,1245.0,2.0,100.0,219
5755,others,3,1350.0,3.0,75.0,240
5756,others,3,1464.0,3.0,56.0,240
5757,Vijayanagar,2,920.0,2.0,60.0,230
5758,others,6,2300.0,7.0,160.0,240
5759,Yelahanka New Town,4,2095.0,3.0,109.0,237
5760,Begur Road,2,1100.0,2.0,71.42,42
5761,Vijayanagar,2,1019.0,2.0,58.0,230
5762,Harlur,3,1756.0,3.0,128.0,94
5763,Bommasandra,3,1280.0,3.0,50.0,51
5764,Whitefield,3,2134.0,4.0,118.0,234
5765,Hosa Road,2,1369.1,2.0,98.0,104
5766,others,3,2515.0,4.0,155.0,240
5767,Thigalarapalya,3,2215.0,4.0,154.0,219
5768,others,3,1440.0,3.0,72.0,240
5769,Hennur Road,3,1186.0,2.0,55.33,99
5770,Uttarahalli,3,1350.0,2.0,47.24,225
5771,Hebbal,3,1800.0,3.0,140.0,95
5772,Kudlu,3,1600.0,3.0,79.0,151
5773,GM Palaya,2,1000.0,2.0,35.0,81
5774,Banashankari Stage III,3,1305.0,2.0,59.0,31
5775,Kambipura,3,1082.0,2.0,45.5,127
5776,Nagarbhavi,2,1050.0,2.0,80.0,174
5777,others,2,1200.0,2.0,56.0,240
5778,Begur,3,3500.0,4.0,185.0,41
5779,Dasarahalli,2,1220.0,2.0,52.0,67
5780,Kanakapura,4,2130.0,4.0,120.0,130
5781,Harlur,3,1749.0,3.0,120.0,94
5782,Doddaballapur,3,1560.0,2.0,48.0,71
5783,others,3,1670.0,3.0,75.0,240
5784,Hennur Road,3,2264.0,3.0,168.0,99
5785,Begur,2,1100.0,2.0,55.0,41
5786,Chandapura,2,674.0,1.0,19.9,58
5787,Electronics City Phase 1,2,1125.0,2.0,65.0,79
5788,Nagavara,2,1125.0,2.0,44.5,176
5789,others,2,700.0,2.0,29.0,240
5790,BTM Layout,3,1300.0,2.0,75.0,25
5791,JP Nagar,3,1600.0,3.0,83.0,113
5792,Magadi Road,3,1052.0,2.0,60.0,159
5793,Devarachikkanahalli,2,1130.0,2.0,36.0,69
5794,Electronic City,3,1500.0,2.0,63.0,77
5795,Old Madras Road,3,1350.0,3.0,47.25,183
5796,Gottigere,3,1230.0,2.0,52.0,85
5797,Haralur Road,3,1520.0,2.0,85.0,93
5798,Kanakpura Road,1,525.0,1.0,26.25,131
5799,Hosa Road,2,1040.0,2.0,61.0,104
5800,others,3,1300.0,2.0,67.0,240
5801,Old Airport Road,4,2690.0,4.0,201.0,182
5802,Panathur,2,1140.0,2.0,51.2,186
5803,Nagavarapalya,1,646.0,1.0,25.84,177
5804,Kadugodi,3,1890.0,4.0,125.0,121
5805,Kadugodi,2,1050.0,2.0,34.0,121
5806,Whitefield,3,1458.0,2.0,62.0,234
5807,Green Glen Layout,3,1970.0,3.0,160.0,86
5808,Whitefield,3,1808.0,4.0,80.0,234
5809,Balagere,2,1007.0,2.0,67.0,28
5810,Doddathoguru,2,1105.0,2.0,50.0,73
5811,Raja Rajeshwari Nagar,2,1170.0,2.0,50.0,193
5812,Chandapura,2,1080.0,2.0,45.0,58
5813,Kaggalipura,3,1150.0,2.0,62.0,123
5814,Ramamurthy Nagar,2,1200.0,2.0,57.9,197
5815,others,2,1200.0,2.0,54.0,240
5816,Kudlu Gate,3,1656.0,3.0,75.0,152
5817,KR Puram,2,1040.0,2.0,50.0,119
5818,Hosur Road,2,1085.0,2.0,33.7,107
5819,others,3,1215.0,2.0,49.75,240
5820,NRI Layout,4,2150.0,4.0,115.0,173
5821,Panathur,2,1210.0,2.0,77.0,186
5822,others,2,1050.0,2.0,55.0,240
5823,Iblur Village,3,1920.0,3.0,150.0,111
5824,Uttarahalli,3,1250.0,2.0,50.0,225
5825,Malleshpalya,2,1421.0,2.0,90.0,163
5826,Old Madras Road,3,1425.0,2.0,74.31,183
5827,Budigere,2,1162.0,2.0,58.0,55
5828,Whitefield,1,905.0,1.0,60.0,234
5829,Sarjapur  Road,2,914.0,2.0,32.0,203
5830,others,2,1258.0,2.0,58.0,240
5831,Whitefield,3,1537.0,2.0,70.0,234
5832,Chikkalasandra,3,1230.0,2.0,53.51,62
5833,Hosur Road,4,2000.0,4.0,69.0,107
5834,Indira Nagar,4,3200.0,3.0,250.0,112
5835,Anjanapura,2,950.0,2.0,32.0,19
5836,Marathahalli,4,4000.0,4.0,200.0,165
5837,Yelahanka,3,1282.0,2.0,48.72,236
5838,Jakkur,3,1220.0,2.0,49.0,114
5839,Budigere,3,1636.0,3.0,85.0,55
5840,7th Phase JP Nagar,3,1415.0,3.0,65.0,7
5841,Green Glen Layout,3,1728.0,3.0,125.0,86
5842,7th Phase JP Nagar,3,1680.0,3.0,125.0,7
5843,Yelahanka,4,3990.0,4.0,260.0,236
5844,Kasavanhalli,2,1495.0,2.0,83.0,134
5845,Yeshwanthpur,3,2501.0,3.0,138.0,239
5846,Kanakpura Road,1,381.0,1.0,28.0,131
5847,Hennur Road,3,2002.0,3.0,120.0,99
5848,others,3,3200.0,3.0,260.0,240
5849,Banjara Layout,2,1200.0,2.0,70.0,35
5850,Bommasandra,3,1942.0,3.0,90.0,51
5851,Electronics City Phase 1,3,1522.5,2.0,60.75,79
5852,others,3,1450.0,3.0,90.0,240
5853,Electronic City,2,1039.0,2.0,50.0,77
5854,Old Madras Road,2,1210.0,2.0,80.0,183
5855,Yelahanka,3,1620.0,3.0,90.0,236
5856,Hebbal Kempapura,3,3408.0,3.0,260.0,96
5857,Marathahalli,2,1314.0,2.0,55.0,165
5858,Bisuvanahalli,2,945.0,2.0,33.0,49
5859,Nehru Nagar,3,1374.0,3.0,72.0,180
5860,Kanakpura Road,3,1603.0,3.0,113.0,131
5861,Kengeri,3,1230.0,2.0,52.0,139
5862,Basavangudi,1,670.0,1.0,50.0,38
5863,Sarjapur  Road,4,1864.0,3.0,105.0,203
5864,Hosa Road,3,2500.0,3.0,100.0,104
5865,Raja Rajeshwari Nagar,3,1625.0,2.0,54.0,193
5866,Whitefield,2,1186.0,2.0,55.0,234
5867,Electronic City,2,770.0,1.0,39.9,77
5868,Varthur,2,1085.0,2.0,45.0,226
5869,others,3,1893.0,3.0,115.0,240
5870,Kundalahalli,3,1496.0,2.0,78.0,154
5871,Electronics City Phase 1,3,1550.0,2.0,82.0,79
5872,Marathahalli,3,1200.0,2.0,58.17,165
5873,Badavala Nagar,3,1494.0,2.0,94.55,27
5874,Electronic City Phase II,2,1286.0,2.0,69.0,78
5875,Hebbal,3,1860.0,3.0,95.0,95
5876,Haralur Road,2,1243.0,2.0,45.0,93
5877,Brookefield,2,1200.0,2.0,75.0,54
5878,Sarjapur,2,1044.0,2.0,32.0,202
5879,7th Phase JP Nagar,2,1040.0,2.0,41.59,7
5880,8th Phase JP Nagar,2,1125.0,2.0,36.94,8
5881,Subramanyapura,3,1278.0,2.0,59.0,214
5882,others,6,2400.0,6.0,98.0,240
5883,others,2,1250.0,2.0,43.0,240
5884,Vijayanagar,5,2400.0,6.0,125.0,230
5885,Lakshminarayana Pura,2,1210.0,2.0,75.0,157
5886,Sarjapur  Road,3,1157.0,2.0,57.84,203
5887,Raja Rajeshwari Nagar,2,1185.0,2.0,51.15,193
5888,Kalena Agrahara,3,1450.0,3.0,100.0,125
5889,Old Madras Road,3,1859.0,3.0,121.0,183
5890,Ramamurthy Nagar,3,1305.0,3.0,60.0,197
5891,Thanisandra,1,784.0,1.0,35.285,218
5892,Kasavanhalli,2,5000.0,2.0,400.0,134
5893,Sarjapur  Road,2,1150.0,2.0,36.8,203
5894,Whitefield,3,1806.0,3.0,85.0,234
5895,Kudlu,2,1027.0,2.0,42.0,151
5896,Uttarahalli,2,1002.0,2.0,40.08,225
5897,Electronic City Phase II,3,1220.0,2.0,36.21,78
5898,Whitefield,2,1109.0,2.0,35.22,234
5899,Uttarahalli,2,1002.0,2.0,40.08,225
5900,Narayanapura,2,1308.0,2.0,89.04,178
5901,Hennur Road,2,1232.0,2.0,69.6,99
5902,Haralur Road,2,1027.0,2.0,44.0,93
5903,Kalyan nagar,2,1250.0,2.0,65.0,126
5904,Raja Rajeshwari Nagar,2,1255.0,2.0,53.87,193
5905,Akshaya Nagar,3,1434.0,3.0,84.0,12
5906,Doddathoguru,2,925.0,2.0,30.0,73
5907,Jakkur,3,1858.0,3.0,123.0,114
5908,others,2,1205.0,2.0,70.0,240
5909,others,3,1500.0,3.0,90.0,240
5910,Mysore Road,2,1020.0,2.0,48.95,171
5911,Thanisandra,2,965.0,2.0,56.0,218
5912,Battarahalli,2,1636.0,2.0,82.89,40
5913,Kundalahalli,3,1724.0,3.0,125.0,154
5914,Whitefield,2,1216.0,2.0,67.0,234
5915,Yelahanka,1,654.0,1.0,36.25,236
5916,others,2,1190.0,2.0,41.0,240
5917,Budigere,3,1636.0,3.0,92.0,55
5918,Hennur Road,2,1195.0,2.0,73.0,99
5919,others,2,1250.0,2.0,67.0,240
5920,Whitefield,3,1452.0,3.0,90.0,234
5921,Thanisandra,3,1546.0,3.0,95.0,218
5922,others,2,2260.0,3.0,80.0,240
5923,others,4,2700.0,3.0,90.0,240
5924,JP Nagar,4,3000.0,3.0,150.0,113
5925,others,1,375.0,1.0,26.0,240
5926,Balagere,2,1007.0,2.0,66.0,28
5927,Kanakpura Road,1,1560.0,1.0,125.0,131
5928,Hennur Road,2,1020.0,2.0,47.0,99
5929,others,2,800.0,3.0,59.5,240
5930,Marathahalli,2,1125.0,2.0,55.0,165
5931,others,3,909.0,2.0,43.0,240
5932,others,2,1400.0,2.0,85.0,240
